City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
68,Hithadhoo,-0.6,73.0833,83.03,74,8,13.85,MV,2021-06-06 19:46:03,clear sky
69,Blagnac,43.6328,1.394,68.14,61,0,10.36,FR,2021-06-06 19:46:03,clear sky
70,Lorengau,-2.0226,147.2712,79.9,78,96,4.07,PG,2021-06-06 19:46:04,overcast clouds
71,Tynset,62.2759,10.7824,55.02,81,97,8.52,NO,2021-06-06 19:46:04,overcast clouds
72,Springdale,36.1867,-94.1288,80.71,69,75,8.99,US,2021-06-06 19:41:36,broken clouds
73,Port Blair,11.6667,92.75,83.88,78,100,11.45,IN,2021-06-06 19:46:05,overcast clouds
74,Sudova Vyshnya,49.7889,23.3722,60.19,83,13,2.98,UA,2021-06-06 19:46:05,few clouds
75,Pacific Grove,36.6177,-121.9166,72.77,73,40,5.99,US,2021-06-06 19:46:06,scattered clouds
76,Nanortalik,60.1432,-45.2371,45.99,68,100,14.56,GL,2021-06-06 19:41:19,overcast clouds
77,Kalianget,-7.05,113.9333,79.38,81,23,3.74,ID,2021-06-06 19:46:06,few clouds
78,Mackenzie,55.2999,-123.1698,55.62,50,1,10.36,CA,2021-06-06 19:42:45,clear sky
79,Klyuchi,52.2667,79.1667,59.9,48,0,4.34,RU,2021-06-06 19:46:07,clear sky
80,Barrow,71.2906,-156.7887,30.22,93,90,12.66,US,2021-06-06 19:46:07,mist
81,Kruisfontein,-34.0033,24.7314,62.89,21,0,9.04,ZA,2021-06-06 19:46:07,clear sky
82,Port Elizabeth,-33.918,25.5701,65.1,93,20,2.3,ZA,2021-06-06 19:46:08,few clouds
83,Chokurdakh,70.6333,147.9167,36.84,76,100,6.85,RU,2021-06-06 19:46:08,overcast clouds
84,Ibra,22.6906,58.5334,80.02,77,0,5.57,OM,2021-06-06 19:46:09,clear sky
85,Bonnyville,54.2668,-110.735,65.52,48,100,13.04,CA,2021-06-06 19:45:14,overcast clouds
86,Trairi,-3.2778,-39.2689,81.03,75,21,8.12,BR,2021-06-06 19:43:47,few clouds
87,Dikson,73.5069,80.5464,30.0,88,100,9.98,RU,2021-06-06 19:41:29,overcast clouds
88,Middle Island,40.8843,-72.9373,93.88,58,1,10.36,US,2021-06-06 19:46:09,clear sky
89,Chernyshevskiy,63.0128,112.4714,38.07,73,9,13.33,RU,2021-06-06 19:46:10,clear sky
90,Marataizes,-21.0433,-40.8244,75.22,80,100,16.64,BR,2021-06-06 19:46:10,overcast clouds
91,Dingle,10.9995,122.6711,75.72,86,100,1.61,PH,2021-06-06 19:42:23,light rain
92,Abaza,52.655,90.0928,43.56,96,66,4.81,RU,2021-06-06 19:46:11,broken clouds
93,Urumqi,43.801,87.6005,59.95,48,0,3.4,CN,2021-06-06 19:46:11,clear sky
94,Bengkulu,-3.8004,102.2655,73.85,90,49,4.45,ID,2021-06-06 19:46:11,scattered clouds
95,Shimoda,34.6667,138.95,68.11,86,87,9.44,JP,2021-06-06 19:46:12,overcast clouds
